pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,pl_ratdor,pl_disc,pl_telescope,pl_pelink,pl_edelink,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age
Kepler-896,Kepler-896 b,Transit,1,144.54739600,2515.44,5262.00,0.84,0.81,,,2.530,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-896_b/,,,4.56,,,-0.100,[Fe/H],5.010
Kepler-897,Kepler-897 b,Transit,1,8.04726420,1589.05,5839.00,1.03,1.04,,,2.390,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-897_b/,,,4.41,,,0.040,[Fe/H],4.370
Kepler-898,Kepler-898 b,Transit,1,5.87061910,491.62,4223.00,0.65,0.62,,,1.490,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-898_b/,,,4.66,,,-0.060,[Fe/H],3.980
Kepler-899,Kepler-899 b,Transit,1,19.17891293,1291.28,5595.00,0.93,0.91,,,2.680,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-899_b/,,,4.49,,,-0.060,[Fe/H],4.070
Kepler-9,Kepler-9 b,Transit,3,19.23891000,639.82,5774.00,1.02,0.96,,43.40000,8.290,31.300000,2010,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-9_b/,http://exoplanets.org/detail/Kepler-9_b,,4.49,-0.038,1.6400,0.050,[Fe/H],2.000
Kepler-9,Kepler-9 c,Transit,3,38.98530000,639.82,5774.00,1.02,0.96,,29.90000,8.080,49.800000,2010,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-9_c/,http://exoplanets.org/detail/Kepler-9_c,,4.49,-0.038,1.6400,0.050,[Fe/H],2.000
Kepler-9,Kepler-9 d,Transit,3,1.59285100,639.82,5774.00,1.02,0.96,2026,,1.640,5.540000,2010,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-9_d/,http://exoplanets.org/detail/Kepler-9_d,,4.49,-0.038,1.6400,0.050,[Fe/H],2.000
Kepler-900,Kepler-900 b,Transit,1,6.99130860,494.43,4836.00,0.78,0.73,,,2.080,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-900_b/,,,4.60,,,-0.010,[Fe/H],4.570
Kepler-901,Kepler-901 b,Transit,1,3.51749439,255.73,4184.00,0.59,0.57,,,1.370,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-901_b/,,,4.70,,,-0.300,[Fe/H],3.800
Kepler-902,Kepler-902 b,Transit,1,40.10995470,1204.82,5647.00,0.95,0.93,,,2.540,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-902_b/,,,4.49,,,0.000,[Fe/H],4.370
Kepler-903,Kepler-903 c,Transit,2,62.92285570,1425.27,5682.00,0.98,0.97,,,2.530,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-903_c/,,,4.46,,,0.050,[Fe/H],4.790
Kepler-903,Kepler-903 b,Transit,2,10.35077210,1425.27,5682.00,0.98,0.97,,,2.010,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-903_b/,,,4.46,,,0.050,[Fe/H],4.790
Kepler-904,Kepler-904 b,Transit,1,3.02166863,1006.32,6160.00,1.16,1.25,,,1.770,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-904_b/,,,4.31,,,0.050,[Fe/H],3.020
Kepler-905,Kepler-905 b,Transit,1,5.08274652,537.48,5461.00,0.95,0.86,,,1.410,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-905_b/,,,4.55,,,0.090,[Fe/H],1.660
Kepler-906,Kepler-906 b,Transit,1,41.69799760,774.64,6035.00,1.06,1.02,,,2.110,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-906_b/,,,4.45,,,-0.090,[Fe/H],1.860
Kepler-907,Kepler-907 b,Transit,1,15.86621821,217.47,6106.00,1.08,1.38,,,1.200,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-907_b/,,,4.19,,,-0.150,[Fe/H],5.370
Kepler-908,Kepler-908 b,Transit,1,1.34059747,293.29,5973.00,1.11,1.12,,,1.220,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-908_b/,,,4.38,,,0.150,[Fe/H],3.020
Kepler-909,Kepler-909 b,Transit,1,13.93290318,312.38,6154.00,1.17,1.23,,,1.470,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/kepler-909_b/,,,4.33,,,0.080,[Fe/H],2.880
