pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,pl_ratdor,pl_disc,pl_telescope,pl_pelink,pl_edelink,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age
GJ 179,GJ 179 b,Radial Velocity,1,2288,12.36,3370,0.36,0.38,,,,,2009,10 m Keck I Telescope,http://exoplanet.eu/catalog/gj_179_b/,http://exoplanets.org/detail/GJ_179_b,M3.5 V,4.83,-1.796,,0.3,[Fe/H],
GJ 180,GJ 180 b,Radial Velocity,3,17.133,11.94,,0.43,,,,,,2014,Multiple Telescopes,http://exoplanet.eu/catalog/gj_180_b/,,M2 V,,,,,,
GJ 180,GJ 180 c,Radial Velocity,3,24.329,11.94,,0.43,,,,,,2014,Multiple Telescopes,http://exoplanet.eu/catalog/gj_180_c/,,M2 V,,,,,,
GJ 180,GJ 180 d,Radial Velocity,3,106.3,11.94,,0.43,,,,,,2020,Multiple Telescopes,http://exoplanet.eu/catalog/gj_180_d/,,M2 V,,,,,,
GJ 229,GJ 229 A c,Radial Velocity,2,121.995,5.76,,0.58,,,,,,2020,Multiple Telescopes,http://exoplanet.eu/catalog/gj_229_a_c/,,M1/M2 V,,,,,,
GJ 229,GJ 229 b,Radial Velocity,2,526.115,5.76,,0.58,,,,,,2014,Multiple Telescopes,http://exoplanet.eu/catalog/gj_229_a_b/,,M1/M2 V,,,,,,
GJ 27.1,GJ 27.1 b,Radial Velocity,1,15.819,23.62,3542,0.53,,,,,,2014,Multiple Telescopes,http://exoplanet.eu/catalog/gj_27.1_b/,,M0.5 V,,-1.585,,,,
GJ 273,GJ 273 b,Radial Velocity,2,18.6498,,3382,0.29,0.29,,,,,2017,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_273_b/,,M3.5,,-2.056,,0.09,[Fe/H],
GJ 273,GJ 273 c,Radial Velocity,2,4.7234,,3382,0.29,0.29,,,,,2017,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_273_c/,,M3.5,,-2.056,,0.09,[Fe/H],
GJ 3021,GJ 3021 b,Radial Velocity,1,133.71,17.56,5540,0.9,0.9,350,,,,2000,1.2 m Leonhard Euler Telescope,http://exoplanet.eu/catalog/gj_3021_b/,http://exoplanets.org/detail/HD_1237_b,G6 V,4.7,-0.18,,0.1,[Fe/H],
GJ 3082,GJ 3082 b,Radial Velocity,1,11.949,16.63,,0.47,,,,,,2020,Multiple Telescopes,http://exoplanet.eu/catalog/gj_3082_b/,,M0.0,,,,,,
GJ 3138,GJ 3138 b,Radial Velocity,3,1.22003,28.49,3717,0.68,0.5,,,,,2017,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3138_b/,,M0,,-1.347,,-0.3,[Fe/H],
GJ 3138,GJ 3138 c,Radial Velocity,3,5.974,28.49,3717,0.68,0.5,,,,,2017,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3138_c/,,M0,,-1.347,,-0.3,[Fe/H],
GJ 3138,GJ 3138 d,Radial Velocity,3,257.8,28.49,3717,0.68,0.5,,,,,2017,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3138_d/,,M0,,-1.347,,-0.3,[Fe/H],
GJ 317,GJ 317 b,Radial Velocity,2,692,15.2,3510,0.42,,,794.5,,,2007,10 m Keck I Telescope,http://exoplanet.eu/catalog/gj_317_b/,http://exoplanets.org/detail/GJ_317_b,M2.5 V,,,,0.36,[Fe/H],5
GJ 317,GJ 317 c,Radial Velocity,2,5312,15.2,3510,0.42,,,,,,2018,10 m Keck I Telescope,http://exoplanet.eu/catalog/gj_317_c/,,M2.5 V,,,,0.36,[Fe/H],5
GJ 328,GJ 328 b,Radial Velocity,1,4100,20.54,3900,0.69,,,,,,2013,9.2 m Hobby-Eberly Telescope,http://exoplanet.eu/catalog/gj_328_b/,http://exoplanets.org/detail/GJ_328_b,M1,,,,0,[M/H],
GJ 3293,GJ 3293 b,Radial Velocity,4,30.5987,20.2,3466,0.42,0.4,,,,,2015,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3293_b/,http://exoplanets.org/detail/GJ_3293_b,M2.5,,-1.658,,0.02,[Fe/H],
GJ 3293,GJ 3293 c,Radial Velocity,4,122.6196,20.2,3466,0.42,0.4,,,,,2015,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3293_d/,http://exoplanets.org/detail/GJ_3293_c,M2.5,,-1.658,,0.02,[Fe/H],
GJ 3293,GJ 3293 d,Radial Velocity,4,48.1345,20.2,3466,0.42,0.4,,,,,2017,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3293_d/,,M2.5,,-1.658,,0.02,[Fe/H],
GJ 3293,GJ 3293 e,Radial Velocity,4,13.2543,20.2,3466,0.42,0.4,,,,,2017,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3293_e/,,M2.5,,-1.658,,0.02,[Fe/H],
GJ 3323,GJ 3323 b,Radial Velocity,2,5.3636,5.38,3159,0.16,0.12,,,,,2017,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3323_b/,,M4,,-2.569,,-0.27,[Fe/H],
GJ 3323,GJ 3323 c,Radial Velocity,2,40.54,5.38,3159,0.16,0.12,,,,,2017,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3323_c/,,M4,,-2.569,,-0.27,[Fe/H],
GJ 3341,GJ 3341 b,Radial Velocity,1,14.207,23.64,3526,0.47,0.44,,,,,2015,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3341_b/,http://exoplanets.org/detail/GJ_3341_b,M2.5,,-1.538,,-0.09,[Fe/H],
GJ 3470,GJ 3470 b,Radial Velocity,1,3.3366496,29.45,3600,0.54,0.55,594,13.9,4.57,13.98,2012,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3470_b/,http://exoplanets.org/detail/GJ_3470_b,M1.5,4.7,,3.3,0.2,[Fe/H],
GJ 3512,GJ 3512 b,Radial Velocity,1,203.59,9.49,3081,0.12,0.14,,,,,2019,3.5 m telescope,http://exoplanet.eu/catalog/gj_3512_b/,,M5.5 V,,-2.804,,-0.07,[Fe/H],5.5
GJ 357,GJ 357 b,Transit,3,3.93072,9.44,3505,0.34,0.34,525,1.84,1.217,22.31,2019,0.1 m TESS Telescope,http://exoplanet.eu/catalog/gj_357_b/,,M2.5 V,4.94,-1.798,13.6,-0.12,[Fe/H],
GJ 357,GJ 357 c,Radial Velocity,3,9.1247,9.44,3505,0.34,0.34,401,,,,2019,Multiple Telescopes,http://exoplanet.eu/catalog/gj_357_c/,,M2.5 V,4.94,-1.798,13.6,-0.12,[Fe/H],
GJ 357,GJ 357 d,Radial Velocity,3,55.661,9.44,3505,0.34,0.34,220,,,,2019,Multiple Telescopes,http://exoplanet.eu/catalog/gj_357_d/,,M2.5 V,4.94,-1.798,13.6,-0.12,[Fe/H],
GJ 3634,GJ 3634 b,Radial Velocity,1,2.64561,20.39,,0.45,0.43,,8.4,,,2010,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_3634_b/,http://exoplanets.org/detail/GJ_3634_b,M2.5,,-1.699,,,,5
GJ 3779,GJ 3779 b,Radial Velocity,1,3.0232,13.75,3324,0.27,0.28,,,,,2018,3.5 m telescope,http://exoplanet.eu/catalog/gj_3779_b/,,M4.0 V,5.05,-2.062,,0,[Fe/H],
GJ 3942,GJ 3942 b,Radial Velocity,1,6.905,16.94,3867,0.63,0.61,590,,,,2017,3.58 m Telescopio Nazionale Galileo,http://exoplanet.eu/catalog/gj_3942_b/,,M0,4.65,-1.12,,-0.04,[Fe/H],
GJ 3998,GJ 3998 b,Radial Velocity,2,2.64977,18.16,3722,0.5,0.49,,,,,2016,3.58 m Telescopio Nazionale Galileo,http://exoplanet.eu/catalog/gj_3998_b/,,M1,4.77,-1.387,,-0.16,[Fe/H],
GJ 3998,GJ 3998 c,Radial Velocity,2,13.74,18.16,3722,0.5,0.49,,,,,2016,3.58 m Telescopio Nazionale Galileo,http://exoplanet.eu/catalog/gj_3998_c/,,M1,4.77,-1.387,,-0.16,[Fe/H],
GJ 411,GJ 411 b,Radial Velocity,1,12.9532,,3563,0.39,0.39,350,,,,2019,1.93 m Telescope,,,M1.9,,-1.658,,-0.38,[Fe/H],
GJ 422,GJ 422 b,Radial Velocity,1,20.129,12.67,,0.35,,,,,,2014,Multiple Telescopes,http://exoplanet.eu/catalog/gj_422_b/,,M3.5 V,,,,,,
GJ 4276,GJ 4276 b,Radial Velocity,1,13.352,21.35,3387,0.41,0.41,,,,,2019,3.5 m telescope,,,M4.0,4.97,-1.706,,0.12,[Fe/H],6.9
GJ 433,GJ 433 b,Radial Velocity,3,7.3705,9.07,,0.48,,,,,,2011,3.6 m ESO Telescope,http://exoplanet.eu/catalog/gj_433_b/,http://exoplanets.org/detail/GJ_433_b,M1.5 V,,,,,,
GJ 433,GJ 433 c,Radial Velocity,3,5094.105,9.07,,0.48,,,,,,2014,Multiple Telescopes,http://exoplanet.eu/catalog/gj_433_c/,,M1.5 V,,,,,,
GJ 433,GJ 433 d,Radial Velocity,3,36.059,9.07,,0.48,,,,,,2020,Multiple Telescopes,http://exoplanet.eu/catalog/gj_433_d/,,M1.5 V,,,,,,
GJ 436,GJ 436 b,Radial Velocity,1,2.64388312,9.76,,0.47,0.46,,22.1,4.17,13.73,2004,10 m Keck I Telescope,http://exoplanet.eu/catalog/gj_436_b/,http://exoplanets.org/detail/GJ_436_b,M2.5 V,4.79,,7,,,
