pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmassj,pl_radj,pl_dens,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_massj,pl_masse,pl_rade,pl_rads,pl_ratdor,pl_disc,pl_disc_reflink,pl_facility,pl_telescope,pl_instrument,pl_mnum,pl_pelink,pl_edelink,st_sp,st_logg,st_lum,st_metfe,st_metratio,st_age
MOA-2009-BLG-266L,MOA-2009-BLG-266L b,Microlensing,1,2774,2810.5,-547.5,0,0.033,,,,,0.56,,,0.033,10.4,,,,2011,<a refstr=MURAKI_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...741...22M/abstract target=ref> Muraki et al. 2011 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2009-blg-266l_b/,http://exoplanets.org/detail/MOA-2009-BLG-266L_b,,,,,,
MOA-2009-BLG-319L,MOA-2009-BLG-319L b,Microlensing,1,,,,,0.16,,,,,0.38,,,0.16,50,,,,2010,<a refstr=MIYAKE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...728..120M/abstract target=ref> Miyake et al. 2011 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2009-blg-319l_b/,http://exoplanets.org/detail/MOA-2009-BLG-319L_b,,,,,,
MOA-2009-BLG-387L,MOA-2009-BLG-387L b,Microlensing,1,1982,785,-588,0,2.56,,,,,0.19,,,2.56,813.6448,,,,2010,<a refstr=BATISTA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...529A.102B/abstract target=ref> Batista et al. 2011 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2009-blg-387l_b/,http://exoplanets.org/detail/MOA-2009-BLG-387L_b,,,,,,
MOA-2010-BLG-073L,MOA-2010-BLG-073L b,Microlensing,1,,,,,11,,,,,0.16,,,11,3496,,,,2012,<a refstr=STREET_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...763...67S/abstract target=ref> Street et al. 2013 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,,http://exoplanets.org/detail/MOA-2010-BLG-073L_b,,,,,,
MOA-2010-BLG-117L,MOA-2010-BLG-117L b,Microlensing,1,,,,0,0.54,,,,,0.58,,,0.54,171.6282,,,,2018,<a refstr=BENNETT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..141B/abstract target=ref>Bennett et al. 2018</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2010-blg-117_b/,,,,,,,
MOA-2010-BLG-328L,MOA-2010-BLG-328L b,Microlensing,1,,,,,0.02895,,,,,0.11,,,0.02895,9.2,,,,2013,<a refstr=FURUSAWA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779...91F/abstract target=ref>Furusawa et al. 2013</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2010-blg-328l_b/,,,,,,,
MOA-2010-BLG-353L,MOA-2010-BLG-353L b,Microlensing,1,,,,,0.27,,,,,0.18,,,0.27,85.8141,,,,2015,<a refstr=RATTENBURY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.454..946R/abstract target=ref>Rattenbury et al. 2015</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2010-blg-353l_b/,,,,,,,
MOA-2010-BLG-477L,MOA-2010-BLG-477L b,Microlensing,1,,,,,1.5,,,,5950,0.67,,,1.5,476.7,,,,2012,<a refstr=BACHELET_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...754...73B/abstract target=ref> Bachelet et al. 2012 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2010-blg-477l_b/,http://exoplanets.org/detail/MOA-2010-BLG-477L_b,,,,,,
MOA-2011-BLG-028L,MOA-2011-BLG-028L b,Microlensing,1,,,,,0.09439,,,,,0.75,,,0.09439,30,,,,2016,<a refstr=SKOWRON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820....4S/abstract target=ref>Skowron et al. 2016</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2011-blg-028l_b/,,,,,,,
MOA-2011-BLG-262L,MOA-2011-BLG-262L b,Microlensing,1,,,,,0.05663,,,,,0.12,,,0.05663,18,,,,2014,<a refstr=BENNETT_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..155B/abstract target=ref>Bennett et al. 2014</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2011-blg-262l_b/,,,,,,,
MOA-2011-BLG-291L,MOA-2011-BLG-291L b,Microlensing,1,,,,0,0.05663,,,,,0.15,,,0.05663,18,,,,2018,<a refstr=BENNETT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..113B/abstract target=ref>Bennett et al. 2018</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2011-blg-291_b/,,,,,,,
MOA-2011-BLG-293L,MOA-2011-BLG-293L b,Microlensing,1,,,,,4.8,,,,,0.86,,,4.8,1525.5,,,,2012,<a refstr=YEE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...755..102Y/abstract target=ref> Yee et al. 2012 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2011-blg-293l_b/,http://exoplanets.org/detail/MOA-2011-BLG-293L_b,,,,,,
MOA-2011-BLG-322L,MOA-2011-BLG-322L b,Microlensing,1,,,,,11.6,,,,,0.39,,,11.6,3686.7,,,,2013,<a refstr=SHVARTZVALD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.439..604S/abstract target=ref> Shvartzvald et al. 2014 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2011-blg-322l_b/,,,,,,,
MOA-2012-BLG-006L,MOA-2012-BLG-006L b,Microlensing,1,,,,0,8.4,,,,,0.49,,,8.4,2669.772,,,,2017,<a refstr=POLESKI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.103P/abstract target=ref>Poleski et al. 2017</a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/moa-2012-blg-006_b/,,,,,,,
MOA-2012-BLG-505L,MOA-2012-BLG-505L b,Microlensing,1,,,,,0.02108,,,,,0.1,,,0.02108,6.7,,,,2017,<a refstr=NAGAKANE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...35N/abstract target=ref>Nagakane et al. 2017</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2012-blg-505l_b/,,,,,,,
MOA-2013-BLG-605L,MOA-2013-BLG-605L b,Microlensing,1,,,,,0.01007,,,,,0.03,,,0.01007,3.2,,,,2016,<a refstr=SUMI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...825..112S/abstract target=ref>Sumi et al. 2016</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2013-blg-605l_b/,,,,,,,
MOA-2015-BLG-337L,MOA-2015-BLG-337L b,Microlensing,1,,,,0,0.10603,,,,,0.01,,,0.10603,33.7,,,,2018,<a refstr=MIYAZAKI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..136M/abstract target=ref>Miyazaki et al. 2018</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,,,,,,,,
MOA-2016-BLG-227L,MOA-2016-BLG-227L b,Microlensing,1,,,,,2.8,,,,,0.29,,,2.8,889.924,,,,2017,<a refstr=KOSHIMOTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154....3K/abstract target=ref>Koshimoto et al. 2017</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2016-blg-227l_b/,,,,,,,
MOA-2016-BLG-319L,MOA-2016-BLG-319L b,Microlensing,1,,,,0,0.62,,,,,0.15,,,0.62,197.0546,,,,2018,<a refstr=HAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..226H/abstract target=ref>Han et al. 2018</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-2016-blg-319l_b/,,,,,,,
MOA-bin-1L,MOA-bin-1L b,Microlensing,1,,,,,3.7,,,,,0.75,,,3.7,1175.9,,,,2012,<a refstr=BENNETT_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...757..119B/abstract target=ref> Bennett et al. 2012 </a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-bin-1_b/,http://exoplanets.org/detail/MOA-bin-1L_b,,,,,,
MOA-bin-29,MOA-bin-29 b,Microlensing,1,,,,0,0.6,,,,,0.03,,,0.6,190.698,,,,2019,<a refstr=KONDO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190501239K/abstract target=ref>Kondo et al. 2019</a>,MOA,1.8 m MOA Telescope,MOA CCD Array,0,http://exoplanet.eu/catalog/moa-bin-29_b/,,,,,,,
MXB 1658-298,MXB 1658-298 b,Eclipse Timing Variations,1,760,,,0,23.7,,,,,1.98,,,23.7,7532.571,,,,2017,<a refstr=JAIN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468L.118J/abstract target=ref>Jain et al. 2017</a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,,,,,,,,
NGC 2682 Sand 364,NGC 2682 Sand 364 b,Radial Velocity,1,121.71,0.31,-0.31,0,6.69,,,837.03,4284,9.06,39.59,,,,,,,2014,<a refstr=BRUCALASSI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561L...9B/abstract target=ref> Brucalassi et al. 2014 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/sand_364_b/,http://exoplanets.org/detail/M_67_SAND_364_b,5.3,2.2,,-0.02,[Fe/H],
NGC 2682 Sand 978,NGC 2682 Sand 978 b,Radial Velocity,1,511.21,2.04,-2.04,0,2.18,,,842.01,4200,1.37,,,,,,,,2017,<a refstr=BRUCALASSI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..85B/abstract target=ref>Brucalassi et al. 2017</a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,,,5.4,1.8,,,,
NGC 2682 YBP 1194,NGC 2682 YBP 1194 b,Radial Velocity,1,6.959,0.001,-0.001,0,0.32,,,895.73,5780,1.01,,,,,,,,2014,<a refstr=BRUCALASSI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561L...9B/abstract target=ref> Brucalassi et al. 2014 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/ybp1194_b/,http://exoplanets.org/detail/M_67_YBP_1194_b,4.5,4.44,,,,
NGC 2682 YBP 1514,NGC 2682 YBP 1514 b,Radial Velocity,1,5.118,0.001,-0.001,0,0.4,,,939.38,5725,0.96,,,,,,,,2014,<a refstr=BRUCALASSI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561L...9B/abstract target=ref> Brucalassi et al. 2014 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/ybp1514_b/,http://exoplanets.org/detail/M_67_YBP_1514_b,4.5,4.57,,,,
NGC 2682 YBP 401,NGC 2682 YBP 401 b,Radial Velocity,1,4.087,0.007,-0.007,0,0.46,,,851.36,6165,1.14,,,,,,,,2016,<a refstr=BRUCALASSI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...592L...1B/abstract target=ref>Brucalassi et al. 2016</a>,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/ybp401_b/,,3.9,4.3,,,,
NGTS-1,NGTS-1 b,Transit,1,2.647298,2E-05,-2E-05,0,0.812,1.33,0.42,219.5,3916,0.62,0.57,790,0.812,258.07796,14.908,0.137,12.2,2017,<a refstr=BAYLISS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017arXiv171011099B/abstract target=ref>Bayliss et al. 2017</a>,Paranal Observatory,20 cm Telescope,Andor Ikon-L Camera,0,http://exoplanet.eu/catalog/ngts-1_b/,,6,4.71,,0,[M/H],
NGTS-2,NGTS-2 b,Transit,1,4.511164,6.1E-05,-6.1E-05,0,0.74,1.595,0.226,359.81,6478,1.64,1.7,1468,0.74,235.1942,17.878,0.164,,2018,<a refstr=RAYNARD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.tmp.2460R/abstract target=ref>Raynard et al. 2018</a>,Paranal Observatory,20 cm Telescope,Andor Ikon-L Camera,0,http://exoplanet.eu/catalog/ngts-2_b/,,3.5,4.2,,-0.06,[Fe/H],2.17
NGTS-3 A,NGTS-3 A b,Transit,1,1.6753728,3E-06,-3E-06,0,2.38,1.48,0.31,760.26,5600,1.02,0.93,,2.38,756.4354,16.589,0.152,6.49435,2018,<a refstr=GUNTHER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180501378G/abstract target=ref>Gunther et al. 2018</a>,Paranal Observatory,20 cm Telescope,Andor Ikon-L Camera,0,http://exoplanet.eu/catalog/ngts-3a_b/,,4.6,,,0.12,[Fe/H],
NGTS-4,NGTS-4 b,Transit,1,1.3373508,8E-06,-8E-06,0,0.06481,0.284,3.45,282.84,5143,0.75,0.84,1650,0.06481,20.6,3.18,0.029,4.79,2019,<a refstr=WEST_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.tmp.1066W/abstract target=ref>West et al. 2019</a>,Paranal Observatory,20 cm Telescope,Andor Ikon-L Camera,0,http://exoplanet.eu/catalog/ngts-4_b/,,,4.5,,-0.28,[M/H],
NGTS-5,NGTS-5 b,Transit,1,3.3569866,2.6E-06,-2.6E-06,0,0.229,1.136,,309.5,4987,0.66,0.74,952,0.229,72.78307,12.733,0.117,11.111,2019,<a refstr=EIGM_UUML_LLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190502593E/abstract target=ref>Eigm&uuml;ller et al. 2019</a>,Paranal Observatory,20 cm Telescope,Andor Ikon-L Camera,0,http://exoplanet.eu/catalog/ngts-5_b/,,5.2,4.52,,0.12,[Fe/H],
NGTS-6,NGTS-6 b,Transit,1,0.882059,8E-07,-8E-07,0,1.339,1.326,0.711,311.03,4730,0.77,0.75,1284,1.339,425.57437,14.863,0.136,4.784,2019,<a refstr=VINES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.tmp.2032V/abstract target=ref>Vines et al. 2019</a>,Paranal Observatory,20 cm Telescope,Andor Ikon-L Camera,0,http://exoplanet.eu/catalog/ngts-6_b/,,,4.7,-0.592,0.11,[Fe/H],9.77
NGTS-8,NGTS-8 b,Transit,1,2.4997,1E-05,-1E-05,0,0.93,1.09,0.89,434.28,5241,0.89,0.98,1345,0.93,295.5819,12.218,0.112,7.6,2019,<a refstr=COSTES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv191102814C/abstract target=ref>Costes et al. 2019</a>,Paranal Observatory,20 cm Telescope,Andor Ikon-L Camera,0,http://exoplanet.eu/catalog/ngts-8_b/,,5,4.41,,0.24,[Fe/H],12.48
NGTS-9,NGTS-9 b,Transit,1,4.43527,2E-05,-2E-05,0,2.9,1.07,2.93,619.74,6330,1.34,1.38,1448,2.9,921.707,11.994,0.11,9.06,2019,<a refstr=COSTES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv191102814C/abstract target=ref>Costes et al. 2019</a>,Paranal Observatory,20 cm Telescope,Andor Ikon-L Camera,0,http://exoplanet.eu/catalog/ngts-9_b/,,3.8,4.37,,0.31,[Fe/H],0.96
NN Ser,NN Ser c,Eclipse Timing Variations,2,5573.55,102.2,-102.2,0,7.33,,,521.75,57000,0.54,,,7.33,2329.6,,,,2010,<a refstr=BEUERMANN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...521L..60B/abstract target=ref> Beuermann et al. 2010 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/nn_ser_(ab)_c/,http://exoplanets.org/detail/NN_Ser_c,,,,,,
